jenis_kelamin,RorPython,platform_favorite,pentingnya_pemrograman,frekuensi_R,kenyamanan_R,kesulitan_R,penguasaan_R,visualisasi_R,praktikum_R,proyek_R,library_R,frekuensi_Python,kenyamanan_Python,kesulitan_Python,penguasaan_Python,visualisasi_Python,praktikum_Python,proyek_Python,library_Python
Perempuan,R,RStudio,3,3,2,4,1,2,4,1,4,2,2,4,1,2,1,0,3
Laki-Laki,Python,Notebook (Collab/Jupyter Notebook),4,4,3,3,2,2,4,4,10,4,4,2,3,4,0,2,10
Perempuan,R,RStudio,4,4,4,3,3,3,4,4,9,2,3,3,2,2,1,1,3
Perempuan,Python,Notebook (Collab/Jupyter Notebook),3,3,3,2,2,4,4,6,4,4,4,3,3,4,9,5,3
Laki-Laki,Python,VSC (Visual Studio Code),4,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3
Laki-Laki,Python,Notebook (Collab/Jupyter Notebook),4,3,2,4,2,2,2,0,7,4,3,3,3,4,3,5,10
Perempuan,R,RStudio,4,3,3,2,3,4,5,1,7,3,3,2,3,3,0,1,7
Perempuan,Python,VSC (Visual Studio Code),4,2,2,3,2,3,3,2,8,4,4,2,4,4,3,10,10
Laki-Laki,Python,Notebook (Collab/Jupyter Notebook),4,3,2,3,2,2,3,4,3,2,3,3,2,3,3,2,1
Laki-Laki,R,RStudio,3,3,3,3,3,2,4,2,3,2,2,2,2,2,1,0,2
Laki-Laki,Python,Notebook (Collab/Jupyter Notebook),4,3,3,2,3,3,3,0,6,4,4,2,4,4,3,15,20
Perempuan,Python,VSC (Visual Studio Code),4,3,3,3,3,3,2,1,3,3,3,2,3,4,3,2,4
Laki-Laki,Python,Notebook (Collab/Jupyter Notebook),4,2,2,3,2,2,2,0,3,3,4,4,4,4,1,0,4
Laki-Laki,Python,VSC (Visual Studio Code),4,2,2,2,2,2,2,2,3,4,4,2,3,4,3,5,4
Perempuan,R,RStudio,4,2,3,4,3,3,4,3,4,3,4,3,3,3,1,2,3
Perempuan,Python,VSC (Visual Studio Code),4,4,3,3,3,3,,0,5,4,3,4,3,3,2,1,5
Perempuan,R,RStudio,3,3,3,3,2,3,5,5,7,2,3,4,2,3,2,2,5
Laki-Laki,Python,VSC (Visual Studio Code),4,2,3,2,2,4,5,0,6,4,4,2,3,3,0,7,7
Laki-Laki,Python,VSC (Visual Studio Code),4,2,1,4,3,1,1,1,15,4,4,2,4,4,4,10,30
Laki-Laki,Python,VSC (Visual Studio Code),4,2,2,4,2,2,2,0,7,3,3,3,2,3,3,10,8
Perempuan,Python,RStudio,4,3,3,1,2,3,5,3,4,3,3,4,4,2,0,4,3
Perempuan,R,RStudio,4,4,3,3,3,3,5,10,5,2,3,3,1,2,0,3,3
Perempuan,R,RStudio,4,3,4,3,2,3,3,1,6,3,3,3,2,3,2,1,5
Perempuan,Python,Notebook (Collab/Jupyter Notebook),4,4,3,3,3,2,3,4,5,4,4,3,3,3,2,12,6
Perempuan,R,RStudio,4,3,3,3,3,3,4,0,4,2,2,2,2,2,1,3,2
Laki-Laki,Python,VSC (Visual Studio Code),4,3,2,3,3,2,2,0,4,4,4,3,3,4,3,3,6
Perempuan,R,RStudio,4,4,3,4,3,3,5,7,3,2,3,3,2,3,0,1,2
Laki-Laki,Python,VSC (Visual Studio Code),4,3,3,3,3,3,3,5,5,4,4,3,3,2,2,6,4
Perempuan,Python,VSC (Visual Studio Code),4,4,3,2,3,4,4,2,5,3,4,2,4,2,2,2,5
Laki-Laki,Python,RStudio,3,2,1,2,,2,2,1,7,4,4,2,2,3,4,5,
Perempuan,R,RStudio,4,4,4,3,3,3,8,3,6,2,3,3,2,2,3,0,3
Perempuan,R,VSC (Visual Studio Code),3,4,3,3,2,3,3,1,3,2,3,4,2,2,1,2,3
Perempuan,R,RStudio,4,4,3,2,3,4,3,1,5,2,3,2,3,3,2,0,3
Laki-Laki,Python,VSC (Visual Studio Code),4,2,2,3,2,2,4,1,7,3,4,2,3,3,2,2,4
Perempuan,R,RStudio,4,4,4,3,4,3,4,2,10,2,3,3,2,3,1,0,2
Laki-Laki,R,RStudio,4,4,2,3,2,4,5,1,4,3,2,1,2,2,0,0,1
Laki-Laki,Python,Notebook (Collab/Jupyter Notebook),3,2,3,3,2,4,3,1,3,4,3,2,3,4,5,3,4
Laki-Laki,R,RStudio,4,3,4,3,3,4,5,5,4,2,2,4,3,2,3,4,2
Laki-Laki,R,RStudio,4,3,1,3,2,3,4,0,4,3,3,2,3,3,1,0,7
Perempuan,R,RStudio,4,4,3,2,3,3,7,14,12,2,2,2,2,2,2,4,5
Laki-Laki,R,RStudio,3,4,4,4,3,4,3,3,7,3,4,3,3,4,2,3,5
Laki-Laki,Python,VSC (Visual Studio Code),4,3,2,2,2,2,2,0,3,4,4,3,3,3,3,5,10
Laki-Laki,R,RStudio,4,4,4,2,3,3,5,2,3,2,2,3,2,2,0,0,3
Laki-Laki,R,RStudio,4,4,4,2,3,3,3,3,3,3,2,2,2,3,2,9,4
Perempuan,R,RStudio,4,4,3,2,3,3,3,10,9,3,3,3,3,3,2,3,3
Laki-Laki,R,RStudio,4,4,4,3,3,4,5,,,2,2,3,2,2,2,2,
Perempuan,Python,Notebook (Collab/Jupyter Notebook),4,3,3,3,3,3,2,0,5,3,3,2,3,3,3,3,6
Laki-Laki,Python,Notebook (Collab/Jupyter Notebook),4,3,2,2,2,2,3,1,3,4,4,3,3,4,2,3,4
Laki-Laki,R,RStudio,3,3,3,2,3,3,4,4,5,2,2,2,2,2,1,0,1
Perempuan,R,RStudio,3,3,3,2,3,3,2,3,6,2,2,4,3,3,3,0,4
Perempuan,R,RStudio,4,3,3,2,3,3,3,6,5,2,2,2,2,2,2,1,2
Laki-Laki,Python,Notebook (Collab/Jupyter Notebook),4,3,3,3,3,2,2,1,3,4,4,4,3,4,4,10,3
Perempuan,R,Notebook (Collab/Jupyter Notebook),4,4,3,3,2,3,4,1,3,2,2,3,2,2,1,0,2
Perempuan,Python,Notebook (Collab/Jupyter Notebook),4,3,3,2,2,3,3,1,5,4,4,3,2,4,2,2,7
Laki-Laki,Python,VSC (Visual Studio Code),4,2,2,3,2,2,2,4,6,3,3,3,2,3,3,5,6
Laki-Laki,R,RStudio,4,4,3,3,3,4,3,5,5,2,2,2,1,2,1,1,3
Laki-Laki,Python,VSC (Visual Studio Code),4,2,1,2,3,3,2,10,6,4,4,2,3,4,3,20,9
Perempuan,Python,Notebook (Collab/Jupyter Notebook),4,3,3,2,3,3,,,,3,3,3,3,3,,,
Laki-Laki,R,RStudio,4,4,4,4,3,4,5,4,10,2,4,4,2,3,2,1,9
